country,subnational1,subnational2,ADM2_ES,ADM2_PCODE,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
Colombia,Antioquia,Abejorral,Abejorral,CO05002,50,50761,33116,34124,364,161,61,39,76,41,87,51,81,77,50,105,89,26,40,26,85,173,165,147,128
Colombia,Norte de Santander,Ábrego,Ábrego,CO54003,50,152956,87437,88901,81,275,200,122,427,297,244,497,344,228,202,335,328,127,136,96,137,479,191,180,163
Colombia,Antioquia,Abriaquí,Abriaquí,CO05004,50,28174,23781,22699,42,23,12,13,14,20,38,25,41,78,24,26,55,15,18,24,42,206,52,128,44
Colombia,Meta,Acacías,Acacías,CO50006,50,97542,53618,54026,350,87,74,29,97,262,26,151,109,101,198,412,146,22,27,29,13,39,19,23,25
Colombia,Chocó,Acandí,Acandí,CO27006,50,81464,71914,68697,412,119,42,310,432,462,169,364,417,361,694,207,250,98,273,370,349,390,491,402,318
Colombia,Huila,Acevedo,Acevedo,CO41006,50,52121,45210,44057,267,124,107,18,41,96,166,198,178,163,182,244,279,41,102,64,109,384,250,410,285
Colombia,Bolívar,Achí,Achí,CO13006,50,151794,100377,97826,172,105,234,125,359,242,345,375,101,492,200,466,453,208,316,279,3012,1703,822,418,577
Colombia,Huila,Agrado,Agrado,CO41013,50,25012,9675,8771,80,30,100,34,40,139,45,98,70,84,45,41,107,16,44,50,55,118,25,47,43
Colombia,Cundinamarca,Agua de Dios,Agua de Dios,CO25001,50,7616,1752,1593,5,2,2,4,11,9,3,14,5,12,3,7,4,1,0,1,2,2,7,1,0
Colombia,Cesar,Aguachica,Aguachica,CO20011,50,91561,23873,20445,790,93,134,92,209,84,84,271,36,159,58,60,87,57,83,42,184,422,152,84,71
Colombia,Santander,Aguada,Aguada,CO68013,50,4598,3118,2773,2,6,8,6,11,12,30,15,21,41,10,7,13,2,7,3,8,16,15,2,8
Colombia,Caldas,Aguadas,Aguadas,CO17013,50,50163,33278,34159,75,88,79,51,47,40,96,76,46,38,60,126,78,54,50,27,136,130,114,183,84
Colombia,Casanare,Aguazul,Aguazul,CO85010,50,143339,44576,46038,1213,138,184,110,278,285,325,307,353,289,89,126,137,88,43,71,90,129,88,102,65
Colombia,Cesar,Agustín Codazzi,Agustín Codazzi,CO20013,50,164589,78763,74369,4665,197,233,749,160,382,192,422,275,476,226,283,272,157,213,214,508,1083,415,226,302
Colombia,Huila,Aipe,Aipe,CO41016,50,68643,19671,20216,27,41,47,9,52,84,85,94,60,84,33,50,186,18,29,33,37,57,56,26,11
Colombia,Cundinamarca,Albán,Albán,CO25019,50,6645,5421,5090,3,7,12,1,11,3,13,6,4,15,13,7,14,5,6,2,0,9,3,2,3
Colombia,Nariño,Albán,Albán,CO52019,50,7200,3580,3625,42,38,20,7,10,7,15,8,10,11,7,17,22,5,4,1,3,15,8,5,4
Colombia,Caquetá,Albania,Albania,CO18029,50,32352,11908,12651,193,138,155,90,122,111,96,211,149,133,63,75,63,45,82,40,52,94,99,85,114
Colombia,Santander,Albania,Albania,CO68020,50,19055,14471,14397,2,14,15,6,43,15,21,12,11,32,18,15,29,3,17,14,17,73,29,14,16
Colombia,Valle del Cauca,Alcalá,Alcalá,CO76020,50,9049,5431,4688,53,100,67,16,25,44,47,20,21,24,43,48,32,8,12,6,28,113,41,32,21
Colombia,Nariño,Aldana,Aldana,CO52022,50,5575,1327,976,50,134,2,2,11,7,11,30,1,17,8,7,27,2,1,1,2,0,3,1,0
Colombia,Antioquia,Alejandría,Alejandría,CO05021,50,13199,9638,9383,3,6,13,11,17,22,37,9,15,23,18,18,43,1,18,3,47,32,11,5,1
Colombia,Huila,Algeciras,Algeciras,CO41020,50,84164,66220,62240,173,173,152,88,112,158,128,237,136,205,203,95,156,30,35,27,171,116,188,60,65
Colombia,Cauca,Almaguer,Almaguer,CO19022,50,27474,14278,15234,20,78,11,4,28,44,14,6,28,21,7,21,67,3,9,1,8,7,5,12,7
Colombia,Boyacá,Almeida,Almeida,CO15022,50,4798,2489,2458,4,2,0,0,4,6,1,3,2,3,7,9,9,1,0,0,0,2,0,0,0
Colombia,Tolima,Alpujarra,Alpujarra,CO73024,50,53557,17103,17020,75,20,39,11,12,44,91,93,45,191,17,32,43,21,28,34,19,30,20,25,17
Colombia,Huila,Altamira,Altamira,CO41026,50,16893,6924,5964,19,32,100,7,33,85,22,134,76,51,17,14,109,7,8,33,4,2,15,16,13
Colombia,Chocó,Alto Baudó,Alto Baudó,CO27025,50,190772,188914,187876,679,81,130,0,137,102,57,264,113,270,320,164,227,233,173,11,32,201,81,57,43
Colombia,Bolívar,Altos del Rosario,Altos del Rosario,CO13030,50,27163,11093,13339,42,12,6,12,16,11,4,16,10,15,22,18,28,14,51,49,217,137,118,75,83
Colombia,Tolima,Alvarado,Alvarado,CO73026,50,34507,17630,15388,356,239,139,31,162,143,71,255,85,381,196,62,132,24,58,15,60,268,66,63,36
Colombia,Antioquia,Amagá,Amagá,CO05030,50,10215,7521,7325,5,9,8,10,14,14,23,11,12,12,13,16,14,3,10,2,22,25,7,25,8
Colombia,Antioquia,Amalfi,Amalfi,CO05031,50,118119,102624,98694,378,299,221,155,570,411,830,437,426,467,513,540,722,241,347,191,593,1238,696,645,803
Colombia,Tolima,Ambalema,Ambalema,CO73030,50,22829,6961,5841,308,46,20,17,64,51,11,89,49,71,50,26,64,13,18,1,9,9,13,2,14
Colombia,Cundinamarca,Anapoima,Anapoima,CO25035,50,11924,6770,6565,34,69,13,5,72,10,42,41,41,70,25,15,18,14,9,10,5,15,12,14,10
Colombia,Nariño,Ancuyá,Ancuya,CO52036,50,6523,4346,4023,2,9,1,4,10,3,7,17,8,14,3,6,56,4,3,2,1,6,9,10,9
Colombia,Valle del Cauca,Andalucía,Andalucía,CO76036,50,21704,8392,8291,128,32,17,5,67,31,40,21,41,33,39,40,47,10,19,1,11,26,7,15,4
Colombia,Antioquia,Andes,Andes,CO05034,50,54008,49199,48305,260,51,70,38,105,65,150,69,89,152,61,210,109,64,77,61,245,550,256,179,187
Colombia,Antioquia,Angelópolis,Angelópolis,CO05036,50,8791,7000,6900,28,16,14,11,28,19,13,12,13,19,6,25,9,2,5,3,3,27,14,2,3
Colombia,Antioquia,Angostura,Angostura,CO05038,50,36461,27222,26475,1249,128,152,108,336,183,452,262,196,297,191,187,390,273,158,232,449,600,285,381,243
Colombia,Cundinamarca,Anolaima,Anolaima,CO25040,50,11987,8174,7597,5,18,29,3,11,13,16,19,12,48,15,15,14,3,4,1,3,4,9,5,4
Colombia,Antioquia,Anorí,Anorí,CO05040,50,141277,130615,125661,191,402,568,610,851,566,851,523,512,511,503,442,674,209,470,358,766,1601,1075,1107,1545
Colombia,Caldas,Anserma,Anserma,CO17042,50,19671,14036,11888,72,77,101,44,131,50,100,57,99,139,121,161,114,72,81,34,156,308,202,207,189
Colombia,Valle del Cauca,Ansermanuevo,Ansermanuevo,CO76041,50,31761,22345,19716,53,179,110,37,129,62,135,71,67,87,151,193,149,18,34,8,58,108,38,58,42
Colombia,Antioquia,Anzá,Anzá,CO05044,50,22218,12883,12393,45,127,59,33,36,61,47,40,45,155,77,66,68,8,14,9,34,57,17,24,12
Colombia,Tolima,Anzoátegui,Anzoátegui,CO73043,50,53967,29079,30226,83,116,91,14,52,72,43,90,41,185,123,54,132,18,38,7,58,153,52,63,51
Colombia,Antioquia,Apartadó,Apartadó,CO05045,50,57379,51739,51725,552,215,88,25,300,244,187,324,184,298,500,93,662,113,206,103,412,668,235,158,158
Colombia,Risaralda,Apía,Apía,CO66045,50,25517,22411,21604,59,62,64,27,160,79,101,30,51,68,42,178,88,53,42,11,96,261,203,116,105
Colombia,Cundinamarca,Apulo,Apulo,CO25599,50,10746,5764,5462,28,27,40,3,85,9,28,65,28,36,18,21,5,13,14,24,9,16,2,6,9
Colombia,Boyacá,Aquitania,Aquitania,CO15047,50,90375,40395,37011,17,28,28,46,112,17,51,51,56,32,19,63,67,2,3,2,8,22,5,13,16
Colombia,Magdalena,Aracataca,Aracataca,CO47053,50,192902,125828,126746,2453,119,59,156,203,148,178,303,515,377,239,471,772,240,447,456,1310,3018,2177,1255,1602
Colombia,Caldas,Aranzazú,Aranzazu,CO17050,50,14064,11364,10392,9,17,17,7,17,16,43,10,17,30,14,55,25,19,21,5,18,65,38,62,51
Colombia,Santander,Aratoca,Aratoca,CO68051,50,15380,5006,5050,50,8,27,18,6,8,16,21,13,14,12,16,18,3,2,3,2,8,6,0,0
Colombia,Arauca,Arauca,Arauca,CO81001,50,569848,78416,90536,609,206,271,51,91,156,45,188,329,699,91,210,219,221,169,208,526,877,568,290,741
Colombia,Arauca,Arauquita,Arauquita,CO81065,50,108754,51132,52913,1260,519,246,187,244,341,124,363,386,488,223,345,339,242,409,602,1112,1315,702,847,1949
Colombia,Cundinamarca,Arbeláez,Arbeláez,CO25053,50,18436,13173,11801,10,19,19,12,45,34,36,42,36,117,26,24,46,20,15,18,26,6,8,4,7
Colombia,Nariño,Arboleda,Arboleda,CO52051,50,6791,2881,2988,18,14,4,1,14,2,10,1,13,7,2,10,13,2,1,1,1,9,2,1,1
Colombia,Norte de Santander,Arboledas,Arboledas,CO54051,50,50502,35108,35534,7,60,28,18,72,25,48,35,14,45,49,26,112,5,10,4,15,42,27,16,10
Colombia,Antioquia,Arboletes,Arboletes,CO05051,50,48280,25038,25883,1377,337,158,141,332,210,171,103,237,201,285,52,593,51,76,10,127,70,61,73,69
Colombia,Boyacá,Arcabuco,Arcabuco,CO15051,50,16321,6304,6997,5,5,2,4,4,4,8,4,5,6,7,7,25,0,1,3,0,1,1,0,0
Colombia,Antioquia,Argelia,Argelia,CO05055,50,23374,20237,19943,10,38,17,16,17,38,29,9,35,50,19,25,28,22,35,17,40,263,112,96,86
Colombia,Cauca,Argelia,Argelia,CO19050,50,40661,36222,34891,20,88,61,41,117,130,81,58,45,101,35,70,288,83,70,55,96,90,86,109,89
Colombia,Valle del Cauca,Argelia,Argelia,CO76054,50,19384,12945,11975,26,177,37,11,68,37,39,19,34,24,24,84,49,17,10,17,12,9,4,18,13
Colombia,Magdalena,Ariguaní,Ariguaní,CO47058,50,166380,24353,18706,4207,730,470,1933,326,523,481,362,757,369,272,46,290,60,129,695,351,302,216,310,160
Colombia,Bolívar,Arjona,Arjona,CO13052,50,54279,12622,18281,434,69,24,54,59,63,15,26,174,137,7,43,82,71,14,43,793,61,33,36,20
Colombia,Antioquia,Armenia,Armenia,CO05059,50,13072,5799,6003,4,39,7,11,8,26,8,10,2,8,11,10,7,3,5,1,1,15,2,2,3
Colombia,Quindío,Armenia,Armenia,CO63001,50,11300,6957,5540,104,121,154,44,52,96,110,49,30,51,84,75,104,16,28,6,57,168,47,75,19
Colombia,Tolima,Armero,Armero,CO73055,50,45667,22378,19805,279,189,79,11,136,77,126,249,99,163,104,75,117,98,66,35,54,182,71,43,67
Colombia,Cesar,Astrea,Astrea,CO20032,50,57229,10006,5505,479,250,101,619,189,158,132,548,84,344,55,23,85,12,49,87,191,168,157,80,107
Colombia,Tolima,Ataco,Ataco,CO73067,50,106560,57736,58200,78,227,159,77,233,228,165,147,206,218,126,275,544,96,114,61,119,216,129,220,71
Colombia,Córdoba,Ayapel,Ayapel,CO23068,50,215348,59306,61453,1022,554,549,276,650,440,451,414,390,759,444,425,469,159,249,177,873,524,394,297,469
Colombia,Chocó,Bagadó,Bagadó,CO27073,50,112207,110291,108318,21,44,17,8,17,16,29,22,35,65,59,136,73,17,16,1,40,94,24,25,17
Colombia,Chocó,Bahía Solano,Bahía Solano,CO27075,50,108225,106476,105979,196,12,59,1,57,11,28,40,74,117,35,29,48,17,68,22,33,165,78,30,50
Colombia,Chocó,Bajo Baudó,Bajo Baudó,CO27077,50,442762,435539,433195,1216,75,279,5,215,52,68,296,345,408,327,423,382,323,343,26,81,255,68,113,27
