MUNICIPIO,DESPLAZADOS,HECT.ÅREAS.ABANDONADAS.POR.LA.INCIDENCIA.DE.GRUPOS.PARAMILITARES,HECTA.REAS.ABANDONADAS.POR.LA.INCIDENCIA.DE.OTROS.GRUPOS.ARMADOS,TOTAL.HECTA.REAS.ABANDONADAS,X.Ø..ADM2_ES,ADM2_ES,ADM2_PCODE,admn2Nm,lat,lon
ABEJORRAL,2070,5,127,132,ABEJORRAL,Abejorral,CO05002,Abejorral,5.789444444,-75.42805556
ABRIAQUI,64,6,NA,6,ABRIAQUI,Abriaquí,CO05004,Abriaquí,6.633333333,-76.06666667
ACACIAS,1226,809.04,534.61,1343.65,ACACIAS,Acacías,CO50006,Acacías,3.987777778,-73.75972222
ACANDI,2492,625.86,665,1290.86,ACANDI,Acandí,CO27006,Acandí,8.533333333,-77.23333333
ACHI,6111,309.25,1211.19,1520.44,ACHI,Achí,CO13006,"Achí, Bolívar",8.566666667,-74.55
AGUACHICA,4617,302.06,1113.17,1415.23,AGUACHICA,Aguachica,CO20011,Aguachica,8.316666667,-73.63333333
AGUSTIN CODAZZI,17429,3727.74,4395.71,8123.45,AGUSTIN CODAZZI,Agustín Codazzi,CO20013,"Agustín Codazzi, Cesar",10.03666667,-73.23694444
ALBANIA,1562,1214.7,3597.08,4811.78,ALBANIA,Albania,CO18029,"Albania, Caquetá",1.33167,-75.8822
ALEJANDRIA,1928,2,20,22,ALEJANDRIA,Alejandría,CO05021,Alejandría,6.376944444,-75.14111111
ALTO BAUDO,4583,3807,545.02,4352.02,ALTO BAUDO,Alto Baudó,CO27025,Alto Baudó,5.533333333,-77
ALTOS DEL ROSARIO,2009,81.03,606,687.03,ALTOS DEL ROSARIO,Altos del Rosario,CO13030,Altos del Rosario,8.8,-74.16666667
AMAGA,315,26,4,30,AMAGA,Amagá,CO05030,Amagá,6.05,-75.7
AMALFI,1400,15,25,40,AMALFI,Amalfi,CO05031,"Amalfi, Antioquia",6.916666667,-75.08333333
ANDES,764,213,208,421,ANDES,Andes,CO05034,"Andes, Antioquia",5.583333333,-75.91666667
ANGELOPOLIS,407,39,NA,39,ANGELOPOLIS,Angelópolis,CO05036,Angelópolis,6.133333333,-75.7
ANGOSTURA,808,NA,2,2,ANGOSTURA,Angostura,CO05038,"Angostura, Antioquia",6.866666667,-75.33333333
ANORI,2341,NA,24.53,24.53,ANORI,Anorí,CO05040,Anorí,7.073611111,-75.14583333
ANZA,313,66,20,86,ANZA,Anzá,CO05044,Anzá,6.3,-75.85
APARTADO,14447,1919.71,2801.54,4721.25,APARTADO,Apartadó,CO05045,Apartadó,7.883333333,-76.63333333
ARACATACA,5534,538.25,656.32,1194.57,ARACATACA,Aracataca,CO47053,Aracataca,10.59369444,-74.19280833
ARBOLETES,2167,413.14,363.02,776.16,ARBOLETES,Arboletes,CO05051,Arboletes,8.851666667,-76.42833333
ARENAL,1698,125.1,347.03,472.13,ARENAL,Arenal,CO13042,Arenal,8.47,-73.95
ARGELIA,6980,60,2570.01,2630.01,ARGELIA,Argelia,CO05055,"Argelia, Antioquia",5.7425,-75.14638889
ARIGUANI,1276,344.01,585,929.01,ARIGUANI,Ariguaní,CO47058,Ariguaní,9.85,-74.2386
ARJONA,473,19,39,58,ARJONA,Arjona,CO13052,Arjona,10.26,-75.346111
ARMENIA,146,NA,0.01,0.01,ARMENIA,Armenia,CO05059,"Armenia, Antioquia",6.156388889,-75.78722222
ARROYOHONDO,85,NA,NA,NA,ARROYOHONDO,Arroyohondo,CO13062,Arroyohondo,10.13,-75.566667
ASTREA,2497,362.03,289,651.03,ASTREA,Astrea,CO20032,"Astrea, Cesar",9.5,-73.98333333
ATRATO,794,NA,NA,NA,ATRATO,Atrato,CO27050,Atrato,10.06666667,-74.2
AYAPEL,511,52,543.31,543.31,AYAPEL,Ayapel,CO23068,Ayapel,8.316666667,-75.15
BAGADO,3696,752,1223.04,1975.04,BAGADO,Bagadó,CO27073,Bagadó,5.416666667,-76.41666667
BAHIA SOLANO,168,NA,5,5,BAHIA SOLANO (CIUDAD MUTIS),Bahía Solano,CO27075,Bahía Solano,6.216666667,-77.4
BAJO BAUDO,1517,70,140.02,210.02,BAJO BAUDO (PIZARRO),Bajo Baudó,CO27077,Bajo Baudó,4.95,-77.36666667
BARANOA,129,NA,3.01,3.01,BARANOA,Baranoa,CO08078,Baranoa,10.8,-74.91666667
BARBOSA,747,20,14,34,BARBOSA,Barbosa,CO05079,"Barbosa, Antioquia",6.439,-75.333
BARRANCA DE UPIA,213,23,147.2,170.2,BARRANCA DE UPIA,Barranca de Upía,CO50110,Barranca de Upía,4.583333333,-72.96666667
BARRANCAS,1109,NA,NA,NA,BARRANCAS,Barrancas,CO44078,"Barrancas, La Guajira",11,-72.75
BARRANCO DE LOBA,3817,1231.4,183.52,1414.92,BARRANCO DE LOBA,Barranco de Loba,CO13074,Barranco de Loba,8.95,-74.11666667
BARRANQUILLA,1226,175.13,521.04,696.17,BARRANQUILL A,Barranquilla,CO08001,Barranquilla,10.96388889,-74.79638889
BECERRIL,4507,975.43,1031.5,2006.93,BECERRIL,Becerril,CO20045,Becerril,9.7,-73.28333333
