,elevation_difference,ADM2_PCODE
142,1551,CO05001
866,1717,CO05002
527,1875,CO05004
252,822,CO05021
353,911,CO05030
437,1615,CO05031
831,2484,CO05034
22,1522,CO05036
922,1473,CO05038
161,1000,CO05040
988,2709,CO05042
767,2295,CO05044
541,852,CO05045
319,218,CO05051
876,2160,CO05055
805,587,CO05059
938,1229,CO05079
554,752,CO05086
365,1601,CO05088
735,2589,CO05091
521,2248,CO05093
770,2773,CO05101
990,2417,CO05107
149,2639,CO05113
627,766,CO05120
238,2478,CO05125
174,1530,CO05129
339,1532,CO05134
270,2068,CO05138
465,771,CO05142
126,2440,CO05145
869,901,CO05147
199,1536,CO05148
977,1362,CO05150
488,87,CO05154
247,104,CO05172
84,929,CO05190
501,1812,CO05197
494,818,CO05206
634,1965,CO05209
741,1264,CO05212
1062,3261,CO05234
55,1375,CO05237
80,1994,CO05240
288,961,CO05250
594,788,CO05264
395,1100,CO05266
134,1655,CO05282
462,3038,CO05284
949,1899,CO05306
256,1207,CO05308
966,1527,CO05310
93,1718,CO05313
292,1357,CO05315
442,370,CO05318
601,354,CO05321
973,1942,CO05347
194,897,CO05353
616,467,CO05360
714,3408,CO05361
44,1698,CO05364
114,1932,CO05368
605,1026,CO05376
476,1113,CO05380
148,594,CO05390
473,431,CO05400
112,1679,CO05411
850,715,CO05425
301,161,CO05440
246,1210,CO05467
682,1523,CO05475
748,2893,CO05480
286,2690,CO05483
277,617,CO05495
904,2709,CO05501
996,354,CO05541
152,3235,CO05543
823,1558,CO05576
175,591,CO05579
585,314,CO05585
294,203,CO05591
917,937,CO05604
177,1229,CO05607
747,623,CO05615
897,1357,CO05628
206,0,CO05631
743,2865,CO05642
74,2205,CO05647
856,2011,CO05649
975,1387,CO05652
493,2475,CO05656
694,1534,CO05658
636,205,CO05659
413,1256,CO05660
1063,545,CO05664
808,999,CO05665
56,1700,CO05667
226,1077,CO05670
709,337,CO05674
539,1994,CO05679
872,1797,CO05686
885,1145,CO05690
773,167,CO05697
816,937,CO05736
948,2901,CO05756
822,2314,CO05761
701,2691,CO05789
329,1854,CO05790
524,987,CO05792
811,1308,CO05809
337,459,CO05837
531,2386,CO05842
141,1846,CO05847
551,2030,CO05854
298,986,CO05856
620,941,CO05858
447,1655,CO05861
1027,1407,CO05873
77,925,CO05885
932,2353,CO05887
961,1685,CO05890
87,138,CO05893
281,414,CO05895
1073,48,CO08001
265,179,CO08078
520,6,CO08137
230,89,CO08296
879,180,CO08372
579,72,CO08421
98,108,CO08433
761,8,CO08436
180,117,CO08520
783,96,CO08549
884,76,CO08558
75,2205,CO08560
758,0,CO08573
830,323,CO08606
326,18,CO08634
398,1357,CO08638
307,6,CO08675
1071,179,CO08685
467,284,CO08770
195,227,CO08832
137,139,CO08849
987,1483,CO11001
584,0,CO13001
941,146,CO13006
1054,843,CO13030
283,1576,CO13042
79,108,CO13052
400,386,CO13074
71,0,CO13140
59,1027,CO13160
410,6,CO13188
132,119,CO13212
350,197,CO13222
147,428,CO13244
