"","index","PC1","PC2","muni_i","muni_j","muni_i_name","muni_j_name"
"1",1,0.348912579024264,1.01809435552686,"CO05002","CO17013","Abejorral","Aguadas"
"2",2,2.75549417034515,-0.447415878177624,"CO05002","CO05148","Abejorral","El Carmen de Viboral"
"3",3,-0.173139820030027,-0.682273271873145,"CO05002","CO05376","Abejorral","La Ceja"
"4",4,1.4104425851252,-0.321195635784322,"CO05002","CO05400","Abejorral","La Unión"
"5",5,-1.15466791435917,1.29226141571413,"CO05002","CO05467","Abejorral","Montebello"
"6",6,-0.873010715847464,0.467263002316893,"CO05002","CO05679","Abejorral","Santa Bárbara"
"7",7,2.90945147208773,-0.503780273367981,"CO05002","CO05756","Abejorral","Sonsón"
"8",8,-0.29394936893305,1.2277549001347,"CO54003","CO54109","Ábrego","Bucarasica"
"9",9,-0.0157633572745643,0.652874958587425,"CO54003","CO54128","Ábrego","Cáchira"
"10",10,1.39729718942651,-0.22998914251454,"CO54003","CO54344","Ábrego","Hacarí"
"11",11,2.17594525046341,-0.405401980269045,"CO54003","CO54385","Ábrego","La Esperanza"
"12",12,1.25379865340769,-0.342139594844588,"CO54003","CO54398","Ábrego","La Playa"
"13",13,2.8140658937207,0.0339283955361897,"CO54003","CO54498","Ábrego","Ocaña"
"14",14,1.79334312871934,-0.584963977392666,"CO54003","CO20710","Ábrego","San Alberto"
"15",15,1.29942335120161,1.00843878287447,"CO54003","CO20770","Ábrego","San Martín"
"16",16,-0.382809119931127,1.14783588730138,"CO54003","CO54720","Ábrego","Sardinata"
"17",17,-2.00277831924612,0.594603153963949,"CO05004","CO05125","Abriaquí","Caicedo"
"18",18,-0.869986232691507,0.266608088676493,"CO05004","CO05138","Abriaquí","Cañasgordas"
"19",19,1.91007733434617,-0.887932007138349,"CO05004","CO05284","Abriaquí","Frontino"
"20",20,-0.804048341121988,0.722810983793232,"CO05004","CO05306","Abriaquí","Giraldo"
"21",21,1.1156714891888,-0.583192058799063,"CO05004","CO05042","Abriaquí","Santa Fé de Antioquia"
"22",22,1.82805949796019,-0.82133412676428,"CO50006","CO50150","Acacías","Castilla la Nueva"
"23",23,-1.13243659501936,0.400372895189505,"CO50006","CO50318","Acacías","Guamal"
"24",24,1.59839312043677,-0.826181621624189,"CO50006","CO25335","Acacías","Guayabetal"
"25",25,1.3657916486321,-0.252955623589271,"CO50006","CO25339","Acacías","Gutiérrez"
"26",26,-0.925718466768557,1.72588032166513,"CO50006","CO50680","Acacías","San Carlos de Guaroa"
